inclusive	56	65	Easter occurs on a Sunday between March 22 and April 25 inclusive.
also	62	66	It starts on the same day of the week as July every year, and also starts on the same day as January in leap year.
both	3	7	In both leap years and years immediately after that, April finishes on the same day of the week as January of the previous year.
may	27	30	In other societies, people may think that art belongs to the whole society.
that	72	76	Some art is useful in a practical sense, such as a sculptured clay bowl that one can put things in.
art	11	14	Since 1750 art has been defined as the use of skill used to produce an attractive result.
linear	28	34	These artists also invented linear perspective where things in the distance look smaller than things close up in the picture.
adder	15	20	History of art adder   There are sculptures, cave painting and rock art dating from the Upper Paleolithic era.
which	24	29	jpgA painting by Renoir which is a work of art.
formerly	25	33	A is the letter that was formerly used to represent a team in an old TV show, The A Team.
burger	7	13	cheese burger For the indefinite article, see Article (grammar).
apple	22	27	Image:Air composition apple pie chart.JPGThis is what the air is made of.
in	43	45	It is the clear gas we live in and breathe in.
heads	57	62	Air is also what planes fly through and what politicians heads are full of.
breathe	52	59	It is the clear gas in which living things live and breathe.
heterogenous	19	31	Air around us is a heterogenous mixture of many gases and dust particles.
pineapple	10	19	It is the pineapple clear gas in which living things live and breathe.
you	20	23	It has no colour or you smell.
of	18	20	Without it we die of asphyxia.
called	9	15	They are called Ceuta and Melilla.
also	6	10	Spain also has fifty smaller parts called provinces.
grew	8	12	He also grew breast.
your	66	70	"You Learn" - In this song, Alanis says that bad things happen in your life, but you learn from them.
corn	35	39	AGRICULTURE TECHNIQUE   Fertilizer corn Crop rotation Weed removal Breeding Fencing Ranching Plantation Crop protection  Farmers select plants with better yield, taste, and nutrition value.
and	82	85	Arithmetic studies numbers zero, one,  two, three, four, five, six, seven, eight, and nine.
originally	14	24	Australia was originally colonised by people from Britain, but today people from all over the world live there.
pretty	135	141	Australia had a bad recession in 1991, but but when other Western countries had trouble with their economies in 2008, Australia stayed pretty strong.
of	43	45	The climate in Tasmania was more like that of in England, and farmers found it easy to grow crops there.
for	52	55	Australia was still part of the British Empire, and for at first wanted only British or Europeans to come to Australia.
of	5	7	Each of state and territory has its own Parliament and makes its own local law.
some	13	17	In 1840, the some city councils started and some people could vote.
million	5	12	2324 million people live in Australia, and a little about 80% of them live on the east coast.
large	40	45	au calling_code    +61   Australia is a large country in the southern hemisphere between the Pacific Ocean and the Indian Ocean.
than	60	64	The Australian Aboriginal people arrived in Australia about than 50,000 years ago or even earlier.
the	78	81	Spelling in American English There are many words that sound the same between the American English and British English, but are spelled differently.
will	17	21	Sometimes people will learn American English as it is spoken in America.
of	6	8	Words of that come from French that end in -re in British English (metre, centre) end in -er in American English.
for	76	79	Aquaculture was developed a long time ago in China and aquaculture supplies for over 20% of all the seafood harvested.
the	74	77	However aquaculture is quite a new activity in Canada as it only began in the 1879.
especially	25	35	People use abbreviations especially for words that they write a lot.
are	7	10	Angels are named in the Bible are Michael and Gabriel and Raphael.
these	12	17	Most of the these native people were hurt or killed by settlers who took their lands.
fruits	16	22	Apples are hard fruits.
places	50	56	'Apple Day' is celebrated each October 21 in many places.
domestica	27	36	It is in the species Malus domestica in the rose family Rosaceae.
cooked	43	49	The leaves are alternately arranged simple cooked oval.
cooked	29	35	Apples can also be made into cooked drink.
cooked	32	38	Apple juice and apple cider are cooked apple drinks.
cooked	27	33	The scientific name of the cooked apple tree genus in the Latin language is Malus.
this	49	53	They also all believe that people should pray to this God often.
itself	29	35	History   The word 'algebra' itself comes from a mathematics book written by a famous Arabian mathematician.
such	46	50	The study of abstract algebra is the study of such things like polynomials and matrices that arise in solving equations -- these entities are therefore known as algebraic structures.
therefore	17	26	These things are therefore known as algebraic structures.
mostly	20	26	Most of the atom is mostly empty space, occupied by electrons spinning around somewhere inside.
somewhere	71	80	Most of the atom is empty space, occupied by electrons spinning around somewhere inside.
artificially	27	39	(A few more have been made artificially in a laboratory).
up	30	32	Types of atom  Atoms are made up of 3 kinds of sub-atomic particle - proton, neutron and electron.
and	58	61	Their abbreviations are H, He, Li, Be, B, C, N, O, F, Ne, and Na.
the	40	43	In 1937 German chemist Otto Hahn became the first person to create nuclear fission in a laboratory.
that	44	48	Using particle accelerators they discovered that protons and neutrons were actually made of other particles, called quarks.
but	43	46	Such high energies are most commonly found but in star like our Sun, which fuses Hydrodgen for fuel.
found	79	84	The Schrödinger equation is used to find out where an electron is likely to be found.
eight	73	78	In most atoms the first shell has two electrons, and all after that have eight.
chemical	40	48	When atoms join together it is called a chemical reaction.
nucleus	20	27	They are called the nucleus.
electromagnetic	26	41	This attraction is called electromagnetic force.
sulfur	82	88	Hydrogen, for example, has one proton, no neutrons and one electron;  the element sulfur has 16 protons, 16 neutrons and 16 electrons.
atoms	34	39	There are many different types of atoms, each with its own name, mass and size.
atomic	65	71	There are many different types of atoms, each with its own name, atomic mass and size.
only	13	17	Others study only distant galaxies.
thing	59	64	As a result, fields in astronomy are a constantly changing thing.
being	65	70	A stream of charged particle called the Solar wind is constantly being sent off from the Sun.
physical	19	27	A related subject, physical cosmology, is concerned with studying the Universe as a whole, and the way the universe changed over time.
first	51	56	Modern architecture was a new type of architecture first created in about 1900.
on	57	59	Classical buildings have stone column with fancy designs on.
that	54	58	The famous Modernist architect Le Corbusier once said that "A house is a machine for living in".
also	16	20	Architecture is also the profession of an architect.
the	24	27	Anatomy is the study of the what is inside living things.
hilarious	63	72	Today, astronomers know of hundreds of thousands of asteroids, hilarious which range from fractions of a mile to 600 miles across.
very	69	73	jpgA photo of asteroid (253) Mathilde taken by NEAR An asteroid is a very small object in the Solar System that travels around the Sun.
religion	53	61	The Buddhas of Bamyan were the remainder of Buddhism religion in Afghanistan.
generally	12	21	Afghanistan generally has a dry climate with very cold winters and hot summers.
serious	25	32	Drought sometimes causes serious problems for the country's farmers.
the	95	98	Recent history   During the 1800s, Afghanistan became a buffer zone between two rival empires, the British India and Russia.
now	10	13	Women can now study, work, drive, and run for office.
city	12	16	The capital city is Luanda.
situated	10	18	Angola is situated in the south of the continent.
the	136	139	Argentina is the second-largest country in South America and the eighth-largest country in the world    About 39 million people live in the Argentina.
south	107	112	ar calling_code                 +54   Argentina (officially called as Argentine Republic)  is a country in south South America.
located	13	20	Argentina is located between the Andes mountain range in the west and the southern Atlantic Ocean in the east and south.
usually	18	25	Most Argentinians usually embrace both their ethnic origins and Argentinian nationality.
located	137	144	Geography  List of cities and towns in Austria File:Au-map.pngMap of Austria Austria is a largely mountain country since it is partially located in the Alps.
establishment	137	150	The Republic of Armenia recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment.
looks	31	36	A small group of archeologists looks studies human remains hidden under water.
behind	65	71	Archaeology is the study of the past by finding the remains left behind by people who lived in the past.
but	73	76	Fields of interest Archaeologist do not all study the same civilization, but they specialize in different areas of interest.
are	84	87	As settlements (places where people lived in groups) change and grow, old buildings are get buried.
jellyfish	67	76	Invertebrates include insects, crustaceans, molluscs, coral, worm, jellyfish and much more.
can	8	11	Animals can mainly be divided into two main groups: the invertebrate and the vertebrate.
both	17	21	Animals that eat both plants and meat are called omnivore.
again	26	31	The apple has accelerated again.
original	23	31	British English is the original version of the English language which is used in the United Kingdom and some other countries.
the	31	34	British English is the kind of the English language which is used in the United Kingdom and some other countries.
